202	ABCAerolineas	\N	\N	AIJ	ABCAEROLINEAS	Mexico	N
203	AfricanAirlinesInternationalLimited	\N	\N	AIK	AFRICANAIRLINES	Kenya	N
204	AfricanInternationalAirways	\N	\N	AIN	FLYCARGO	Swaziland	N
205	AlpineAirExpress	\N	5A	AIP	ALPINEAIR	UnitedStates	N
206	AlicanteInternacionalAirlines	\N	\N	AIU	ALIA	Spain	N
207	AbaAir	\N	\N	ABP	BAIR	CzechRepublic	N
208	Airblue	\N	ED	ABQ	PAKBLUE	Pakistan	Y
209	AirmarkAviation	\N	\N	THM	THAIAIRMARK	Thailand	N
210	AirliftInternational	\N	\N	AIR	AIRLIFT	UnitedStates	Y
211	Airest	\N	\N	AIT		Estonia	N
212	AirBaffin	\N	\N	BFF	AIRBAFFIN	Canada	N
213	AirBandama	\N	\N	BDM	BANDAMA	IvoryCoast	N
214	AirBerlin	\N	AB	BER	AIRBERLIN	Germany	Y
215	AirBrousse	\N	\N	ABT	AIRBROUSSE	Canada	N
216	AirContractors	\N	AG	ABR	CONTRACT	Ireland	N
217	AirIllinois	\N	\N	AIL	AIRILLINOIS	UnitedStates	N
218	AirIndiaLimited	\N	AI	AIC	AIRINDIA	India	Y
219	AirInterGabon	\N	\N	AIG		Gabon	N
220	AirBourbon	\N	ZB	BUB	BOURBON	Reunion	Y
221	AirAtlantaIcelandic	\N	CC	ABD	ATLANTA	Iceland	Y
222	AirInuit	\N	\N	AIE	AIRINUIT	Canada	N
223	AirSureste	\N	\N	AIS	SURESTE	Spain	N
224	AirSrpska	\N	RB	SBK	AirSrpska	BosniaandHerzegovina	N
225	AirTahitiNui	\N	TN	THT	TAHITIAIRLINES	France	Y
226	AirviasS/ALinhasAereas	\N	\N	AIV	AIRVIAS	Brazil	N
227	AeroServicesExecutive	\N	W4	BES	BIRDEXPRESS	France	N
228	AtlanticIslandAirways	\N	\N	AIW	TARTAN	Canada	N
229	AircruisingAustralia	\N	\N	AIX	CRUISER	Australia	N
230	AircrewCheckandTrainingAustralia	\N	\N	AIY	AIRCREW	Australia	N
231	ArkiaIsraelAirlines	\N	IZ	AIZ	ARKIA	Israel	Y
232	AJServices	\N	\N	AJA	AYJAYSERVICES	UnitedKingdom	N
233	AeroJBR	\N	\N	AJB	AEROJBR	Mexico	N
234	AeroJetExpress	\N	\N	AJE	JETEXPRESS	Mexico	N
235	AviaConsultFlugbetriebs	\N	\N	AJF	AVIACONSULT	Austria	N
236	AmeristarJetCharter	\N	\N	AJI	AMERISTAR	UnitedStates	N
237	A2JetLeasing	\N	\N	AJJ	ATLANTICJET	UnitedStates	N
238	AlliedAir	\N	\N	AJK	BAMBI	Nigeria	N
239	AirJamaica	\N	JM	AJM	JAMAICA	Jamaica	Y
240	AirOne	\N	AP	ADH	HERON	Italy	Y
241	AirSahara	\N	S2	RSH	SAHARA	India	Y
242	AirMalta	\N	KM	AMC	AIRMALTA	Malta	Y
243	Aeroejecutivo	\N	\N	AJO	AEROEXO	Mexico	N
244	AeroJetsCorporativos	\N	\N	AJP	AEROJETS	Mexico	N
245	AeroejecutivosColombia	\N	\N	AJS	AEROEJECUTIVOS	Colombia	N
246	AmerijetInternational	\N	M6	AJT	AMERIJET	UnitedStates	N
247	AirJetsul	\N	\N	AJU	AIRJETSUL	Portugal	N
248	ANA&JPExpress	\N	\N	AJV	AYJAYCARGO	Japan	N
249	AlphaJetInternational	\N	\N	AJW	ALPHAJET	UnitedStates	N
250	AirJapan	\N	NQ	AJX	AIRJAPAN	Japan	Y
251	Ajet	\N	\N	AJY	AYJET	Cyprus	N
252	AirKoreaCo.Ltd.	\N	\N	AKA	\N	RepublicofKorea	Y
253	AirLivonia	\N	\N	LIV	LIVONIA	Estonia	N
254	AirBC	\N	\N	ABL	AIRCOACH	Canada	N
255	AirFretSenegal	\N	\N	ABN		Senegal	N
256	AirJamahiriyaCompany	\N	\N	LJA	AIRJAMAHIRIYA	Libya	N
257	Aktjubavia	\N	\N	AKB	KARAB	Kazakhstan	N
258	ArcaAeroviasColombianasLtda.	\N	\N	AKC	ARCA	Colombia	N
259	AnikayAirCompany	\N	\N	AKF	ANIKAY	Kyrgyzstan	N
260	Akhal	\N	\N	AKH	AKHAL	Turkmenistan	N
261	Aeromilenio	\N	\N	MNI	AEROMIL	Mexico	N
262	AklakAir	\N	\N	AKK	AKLAK	Canada	N
263	AirKiribati	\N	4A	AKL	\N	Kiribati	Y
264	AlkanAir	\N	\N	AKN	ALKANAIR	Canada	N
265	AngkorAirways	\N	\N	AKW	ANGKORWAYS	Cambodia	N
266	AirNipponNetworkCo.Ltd.	\N	EH	AKX	ALFAWING	Japan	N
267	AKNavigatorLLC	\N	\N	AKZ	ABSOLUTE	Kazakhstan	N
268	AeroAlbatros	\N	\N	ALB	ALBATROS	Mexico	N
269	AlbionAviation	\N	\N	ALD	ALBION	UnitedKingdom	N
270	AeroalasColombia	\N	\N	ALE	AEROALAS	Colombia	N
271	AlliedCommandEurope(MobileForce)	\N	\N	ALF	ACEFORCE	Belgium	N
272	AerotaxisAlbatros	\N	\N	BTS	AEROLINEASALBATROS	Mexico	N
273	AmericanFlyers	\N	\N	FYS	AMERICANFLYERS	UnitedStates	N
274	AeroCoachAviation	\N	\N	DFA	AEROCOACH	UnitedStates	N
275	AtlanticSoutheastAirlines	\N	\N	CAA	Chandler	UnitedStates	N
276	ACMAirCharter	\N	\N	BVR	BAVARIAN	Germany	N
277	AirLogistics	\N	\N	ALG	AIRLOG	UnitedStates	N
278	Aerovallarta	\N	\N	ALL	VALLARTA	Mexico	N
279	AirALM	\N	\N	ALM	ANTILLEAN	NetherlandsAntilles	N
280	AirLincoln	\N	\N	ALN	CHICAGOLINCOLN	UnitedStates	N
281	AmericaWestAirlines	\N	HP	AWE	CACTUS	UnitedStates	Y
282	AirWisconsin	\N	ZW	AWI	AIRWISCONSIN	UnitedStates	Y
283	AerotransportedeCargaUnion	\N	\N	TNO	AEROUNION	Mexico	N
284	AeroTaxisCessna	\N	\N	TND	TAXISCESSNA	Mexico	N
285	ArizonaExpressAirlines	\N	\N	TMP	TEMPE	UnitedStates	N
286	TatarstanAirlines	\N	U9	TAK	TATARSTAN	Russia	Y
287	AlleghenyCommuterAirlines	\N	\N	ALO	ALLEGHENY	UnitedStates	Y
288	AlplinerAG	\N	\N	ALP	ALPINER	Switzerland	N
289	AltairAviation(1986)	\N	\N	ALQ	ALTAIR	Canada	N
290	AirLuxorSTP	\N	\N	ALU	LUXORJET	SaoTomeandPrincipe	N
291	AlasdeVenezuela	\N	\N	ALV	ALVEN	Venezuela	N
292	AlasNacionales	\N	\N	ALW	S.A.	ALNACIONAL	N
293	AlyeskaAirService	\N	\N	ALY	ALYESKA	UnitedStates	N
294	AltaFlights(Charters)Ltd.	\N	\N	ALZ		Canada	N
295	AirSunshine	\N	\N	RSI	AIRSUNSHINE	UnitedStates	Y
296	ATMA	\N	\N	AMA	ADIK	Kazakhstan	N
297	AerolineasMedellin	\N	\N	AMD	AEROLINEASMEDELLIN	Colombia	N
